ID,Year,Beef_price,Eggs_price,Flour_price,Rice_price,CPI,Mortgage_rate,US_ur,NASDAQ,disposable_income,Personal_consumption_expenditure,personal_savings
1,Jan-02,1.734,0.973,0.319,,177.7,6.9975,5.7,1976.768571,9951.9,7184.6,5.7
2,Feb-02,1.7,0.996,0.318,,178,6.8925,5.7,1799.718947,9966.6,7225.2,5.5
3,Mar-02,1.74,1.003,0.31,,178.5,7.014,5.7,1863.0455,9973.3,7243.4,5.6
4,Apr-02,1.784,1.047,0.307,,179.3,6.985,5.9,1758.802273,10007.2,7312.5,5.5
5,May-02,1.737,0.997,0.323,0.472,179.5,6.806,5.8,1660.310909,10047.9,7288.9,6.2
6,Jun-02,1.719,0.975,0.325,0.47,179.6,6.65,5.8,1505.4875,10078.5,7322.5,6.2
7,Jul-02,1.659,0.99,0.32,0.475,180,6.485,5.8,1346.085455,10053.5,7387.3,5.4
8,Aug-02,1.669,1.053,0.322,0.482,180.5,6.29,5.7,1327.360455,10056.6,7412.6,5.4
9,Sep-02,1.676,1.055,0.322,0.471,180.8,6.0925,5.7,1251.069,10068.3,7391.5,5.9
10,Oct-02,1.721,1.039,0.289,0.466,181.2,6.1125,5.7,1241.911739,10097.3,7435.2,5.8
11,Nov-02,1.721,1.08,0.291,0.461,181.5,6.068,5.9,1409.1515,10124.3,7463.8,5.8
12,Dec-02,1.693,1.176,0.292,0.458,181.8,6.0475,6,1387.151905,10148.6,7519.9,5.4
13,Jan-03,1.722,1.175,0.316,0.441,182.6,5.916,5.8,1389.559524,10133.6,7541.3,5.4
14,Feb-03,1.778,1.189,0.299,0.447,183.6,5.8425,5.9,1313.261579,10097.6,7548.6,5.3
15,Mar-03,1.858,1.209,0.319,0.44,183.9,5.745,5.9,1348.50381,10121.5,7611.5,5
16,Apr-03,1.855,1.131,0.318,0.44,183.2,5.8125,6,1409.830952,10181.4,7634.5,5.1
17,May-03,1.856,1.009,0.327,0.429,182.9,5.484,6.1,1524.182857,10261.2,7650.3,5.5
18,Jun-03,1.932,1.199,0.327,0.428,183.1,5.23,6.3,1631.750952,10291.2,7699.6,5.3
19,Jul-03,1.878,1.15,0.328,0.451,183.7,5.6325,6.2,1716.851364,10415.5,7757,6.1
20,Aug-03,2.006,1.277,0.329,0.454,184.5,6.264,6.1,1724.822857,10487.7,7852.1,5.9
21,Sep-03,2.022,1.257,0.317,0.461,185.1,6.1475,6.1,1856.224762,10369.1,7853.7,5.1
22,Oct-03,2.01,1.33,0.288,0.463,184.9,5.952,6,1907.891304,10408.4,7867.4,5.3
23,Nov-03,2.256,1.448,0.285,0.49,185,5.9325,5.8,1939.253158,10470.9,7922.6,5.3
24,Dec-03,2.232,1.559,0.287,0.482,185.5,5.876,5.7,1956.984545,10479,7950.4,5.2
25,Jan-04,2.26,1.573,0.307,0.482,186.3,5.7125,5.7,2098.004,10472.7,8007.1,4.9
26,Feb-04,2.25,1.583,0.302,0.487,186.7,5.635,5.6,2048.36,10491.3,8040.4,4.9
